APPLICATION_NUMBER,TARGET
123724268,0.29768968
123456549,0.7216953
123428178,0.43694025
123619984,0.36391217
123671104,0.06203379
123632747,0.11163381
123728867,0.24769947
123459592,0.4799191
123595888,0.035971828
123480224,0.15808737
123471321,0.36391217
123725319,0.22822915
123500343,0.13295466
123654690,0.43789932
123434840,0.17003375
123519890,0.36391217
123464497,0.46871665
123689418,0.10939418
123699541,0.17485456
123667053,0.284503
123493724,0.36391217
123540873,0.02867539
123683158,0.3560229
123675730,0.110056005
123569456,0.3928738
123590315,0.20262513
123608042,0.5984068
123637247,0.1195932
123696300,0.24453697
123645299,0.48699704
123478448,0.11859189
123552626,0.44348255
123660023,0.39961767
123458715,0.30928007
123673488,0.119940884
123445200,0.053257298
123728923,0.35847044
123609395,0.17432922
123598270,0.30940196
123625898,0.20295967
123473077,0.25392202
123545605,0.21455197
123447425,0.36570254
123433257,0.13974333
123468285,0.36391217
123699079,0.6626393
123720024,0.27807388
123488000,0.72975105
123468623,0.30286205
123673653,0.07225258
123438396,0.14401715
123478434,0.279026
123573573,0.26346552
123663154,0.35998404
123534174,0.36391217
123448203,0.36570254
123491207,0.20330846
123486104,0.08951737
123672936,0.21293393
123440414,0.22442135
123708919,0.1288033
123436816,0.10218139
123565375,0.30452642
123717492,0.15441063
123496348,0.36391217
123543275,0.36391217
123651430,0.36248308
123594082,0.5314413
123506762,0.15436758
123697915,0.34453142
123675858,0.3239471
123652118,0.36248308
123560179,0.19588222
123570441,0.36391217
123574171,0.38839543
123658397,0.1742631
123557517,0.17412573
123459087,0.36391217
123616578,0.091861434
123707428,0.2866384
123455128,0.6224841
123576408,0.36391217
123478469,0.13444956
123511244,0.42766094
123613368,0.7111359
123508859,0.08150497
123447568,0.27370125
123561385,0.21470697
123462302,0.38227406
123583551,0.2521205
123680994,0.60677874
123460039,0.18700458
123595981,0.36391217
123511880,0.40765536
123658934,0.2633511
123674856,0.36407986
123629953,0.36391217
123674296,0.046748325
123680752,0.29628915
123493031,0.074389175
123426225,0.3473092
123696163,0.364021
123609069,0.31662953
123608197,0.05250611
123682131,0.041180715
123548371,0.16072522
123666065,0.07235942
123691224,0.25424603
123610127,0.19093525
123609811,0.05279951
123603556,0.6384731
123576819,0.44273856
123666101,0.09662092
123599019,0.18423352
123714219,0.14421347
123450631,0.29896784
123591297,0.30149323
123640295,0.32205912
123435383,0.31086236
123648025,0.055130556
123607172,0.15951058
123576615,0.4648563
123689086,0.05774399
123431889,0.055809043
123433520,0.30242875
123552179,0.087010175
123572473,0.1095769
123521600,0.1588096
123571125,0.20524628
123532513,0.18735383
123599387,0.36391217
123617258,0.54155564
123492753,0.8856121
123570720,0.16115287
123571431,0.25396678
123507927,0.5753285
123591436,0.46974003
123626222,0.70659494
123638226,0.06883066
123655607,0.087420836
123500036,0.2449735
123430009,0.3473092
123695265,0.5403706
123537332,0.3557101
123665539,0.6220533
123501885,0.2993221
123686004,0.37478074
123724589,0.36352313
123692159,0.45143235
123671030,0.24571857
123484855,0.34529856
123442196,0.13080573
123641644,0.20884384
123628192,0.38781855
123441332,0.1809579
123709933,0.23636934
123525643,0.36391217
123655422,0.110075876
123676869,0.68231595
123576991,0.07503855
123691511,0.24205126
123590563,0.06698194
123606274,0.18676265
123685539,0.35072047
123712086,0.06727733
123439493,0.3626315
123725031,0.23391259
123438049,0.13779536
123499584,0.2521205
123694174,0.55867535
123573618,0.36391217
123496241,0.39214253
123452939,0.15274903
123618852,0.41469163
123492311,0.56206113
123493216,0.54808617
123534290,0.6930609
123490413,0.15268454
123674282,0.40474194
123555380,0.6047333
123456321,0.119160615
123536170,0.16043693
123652190,0.6232268
123552380,0.6913149
123495749,0.15266736
123665864,0.6018543
123597405,0.10215478
123496507,0.19340535
123482113,0.09451867
123462055,0.11131196
123682157,0.08481804
123703385,0.14178659
123432509,0.050318543
123630016,0.53445536
123506364,0.36392722
123680991,0.080311194
123496863,0.34605917
123714126,0.12884615
123588643,0.26438522
123577735,0.09217587
123499268,0.37883928
123713945,0.16559954
123430500,0.23189016
123504335,0.5564433
123576696,0.6253726
123703429,0.38159156
123698704,0.14040035
123665335,0.27752802
123569862,0.17241421
123485895,0.023601465
123679092,0.27919057
123656332,0.07984838
123705996,0.64137256
123701874,0.20577925
123653512,0.31039017
123536231,0.6320514
123479428,0.1537119
123630707,0.36391217
123619817,0.23719132
123681462,0.3560229
123611410,0.30235124
123564670,0.2697218
123459040,0.21127053
123726057,0.36352313
123624839,0.56050533
123575870,0.40386698
123561429,0.6944623
123519183,0.15176302
123519881,0.32300848
123727183,0.36352313
123622905,0.11443887
123609128,0.6224192
123683566,0.67811596
123606681,0.84510416
123652413,0.1047052
123708269,0.46988663
123711013,0.04755448
123556691,0.095253855
123721561,0.43358833
123702835,0.42021662
123483517,0.46344215
123725101,0.26232192
123658312,0.30663538
123703391,0.34381875
123498197,0.43726403
123449019,0.49212503
123653882,0.4011629
123586486,0.07591913
123610487,0.53223073
123679327,0.11378753
123673392,0.12543215
123661393,0.313969
123457415,0.2515269
123659635,0.08857266
123634239,0.08057975
123430996,0.13461547
123671944,0.42435908
123598860,0.11644217
123614404,0.36391217
123552108,0.36391217
123575779,0.15308404
123606379,0.21496654
123676060,0.3560229
123548820,0.45163378
123485786,0.085945114
123503051,0.63516974
123664515,0.35998404
123598454,0.36636326
123559220,0.5945665
123525508,0.21614486
123461947,0.39576817
123628510,0.36391217
123444892,0.49943405
123598346,0.3875712
123602122,0.26610386
123548716,0.32557383
123637505,0.30015397
123612575,0.15081516
123462279,0.20506586
123592793,0.36391217
123582892,0.44266528
123611064,0.17624213
123614860,0.36391217
123596548,0.4654343
123643469,0.12196414
123494414,0.13391311
123483589,0.087879896
123556084,0.5207697
123721051,0.0555092
123450541,0.36570254
123437585,0.26845655
123481754,0.15403028
123649740,0.36248308
123527684,0.6066443
123429040,0.82005656
123449777,0.22617319
123495100,0.3785656
123557624,0.574139
123481937,0.041346394
123718429,0.38684902
123663519,0.102680355
123540365,0.07401276
123444261,0.36570254
123622149,0.20313585
123650637,0.16482054
123534000,0.31425825
123600570,0.4030498
123646237,0.09523074
123454388,0.3716333
123454153,0.59291065
123644089,0.36248308
123555068,0.31144994
123698426,0.364021
123433404,0.27022138
123546695,0.50782543
123505780,0.36391217
123685819,0.6841828
123608882,0.07895765
123696828,0.364021
123678755,0.44259003
123545322,0.617576
123541941,0.68940294
123451395,0.23057781
123439808,0.4996993
123571852,0.36391217
123691980,0.344597
123550091,0.36391217
123442292,0.40585142
123709056,0.10101031
123641420,0.07487014
123682623,0.3560229
123495589,0.052444145
123463445,0.14029577
123684118,0.11332514
123489465,0.37507924
123604190,0.1289253
123607874,0.31777126
123679172,0.23048341
123646934,0.36248308
123606470,0.21494402
123729142,0.39864194
123483737,0.7772811
123654607,0.530146
123485407,0.18006918
123440884,0.09905124
123555440,0.20096658
123646150,0.115301825
123633529,0.21748954
123572586,0.6593839
123529503,0.2832842
123650583,0.14807607
123677020,0.23861797
123516094,0.23317571
123696710,0.364021
123531119,0.36391217
123660355,0.3944676
123657909,0.31202227
123606420,0.36391217
123513779,0.12517361
123449847,0.36570254
123713224,0.490463
123579200,0.35149226
123565369,0.7401258
123476809,0.16002819
123636722,0.3039135
123581037,0.55694276
123541854,0.17979571
123636367,0.3283857
123725987,0.6821911
123717848,0.36115506
123544418,0.36391217
123543619,0.118252754
