APPLICATION_NUMBER,TARGET,NAME_CONTRACT_TYPE
123687442,0,Cash
123597908,1,Cash
123526683,0,Cash
123710391,1,Cash
123590329,1,Cash
123718821,0,Cash
123544624,0,Cash
123631154,0,Cash
123702544,0,Cash
123660201,0,Cash
123572161,0,Cash
123676382,0,Cash
123728314,0,Cash
123525176,0,Cash
123600510,0,Cash
123572982,0,Cash
123649339,0,Cash
123646531,1,Cash
123724887,0,Cash
123539862,0,Cash
123437928,0,Cash
123424332,1,Cash
123582038,0,Cash
123681539,0,Cash
123609817,0,Cash
123665069,0,Cash
123699030,0,Cash
123730798,0,Credit Card
123444857,0,Cash
123570713,0,Cash
123601029,0,Cash
123598085,0,Cash
123671266,0,Cash
123481256,0,Cash
123522672,0,Cash
123561747,1,Cash
123663744,1,Cash
123597856,1,Cash
123657148,0,Cash
123501496,0,Cash
123698164,0,Cash
123702017,0,Credit Card
123473643,0,Cash
123557705,0,Cash
123721666,0,Cash
123574122,0,Cash
123472429,0,Cash
123536804,0,Cash
123525906,1,Cash
123523758,1,Cash
123679733,0,Cash
123448770,0,Credit Card
123432109,0,Cash
123592203,0,Cash
123709914,1,Cash
123588826,0,Cash
123618084,0,Credit Card
123453064,0,Cash
123620651,0,Cash
123614830,0,Cash
123521632,0,Cash
123720231,0,Cash
123440742,0,Cash
123527697,0,Cash
123545642,0,Credit Card
123656674,0,Cash
123592978,0,Cash
123715334,0,Cash
123468553,0,Credit Card
123545704,0,Cash
123716804,0,Cash
123588220,0,Cash
123700327,0,Cash
123515353,0,Cash
123512839,0,Cash
123542780,0,Cash
123426541,0,Credit Card
123452443,0,Cash
123553890,0,Cash
123678860,0,Cash
123549475,0,Cash
123708621,0,Cash
123554196,0,Cash
123446102,0,Cash
123566706,0,Cash
123467065,0,Cash
123627103,0,Cash
123562499,1,Cash
123448196,0,Credit Card
123669657,0,Cash
123578276,0,Cash
123648208,0,Cash
123637443,0,Cash
123718170,0,Credit Card
123601130,0,Cash
123491831,1,Cash
123501936,0,Cash
123461221,0,Cash
123496772,0,Cash
123583774,0,Cash
123542236,0,Cash
123525761,0,Cash
123668457,0,Credit Card
123699614,0,Cash
123438555,0,Cash
123722192,0,Cash
123626450,0,Cash
123717286,1,Cash
123521607,0,Cash
123538293,0,Cash
123620457,0,Cash
123423804,0,Credit Card
123558822,0,Cash
123705609,0,Cash
123527153,0,Cash
123682773,0,Cash
123662608,0,Cash
123669324,0,Cash
123568153,0,Cash
123470509,0,Cash
123609728,0,Cash
